Fax Modem Speed,Number Of Cartridges Included,Battery Type,Tray Capacity,Printer Resolution (Color),ISO Mono Print Speed,Phone Included,Number Of Speed Dials,Supported Paper Sizes,Mobile Device Printing,Compatible Cartridges,Provider_Product_ID,Black Printer Resolution,Maximum Fax Page Memory,EPEAT Qualified,Printer Type,Double-Sided Printing,Batteries Included,pricematch,Copier Resolution (Color),Print Quality,Print (Color) Speed,Type of Interface,Automatic Document Feeder Capacity,Copier Resolution,Media Sizes,Paper Compatibility,Touch Screen,Print (Black/Monochromatic) Speed,Integrated Fax,ENERGY STAR Certified,Copier Speed (B&W),Media Types,Maximum Photo Length,Display Screen Size,Transparency Scanning,Minimum System Requirements,Input Paper Capacity,Duty Cycle,Automatic Document Feeder,Integrated Answering System,Paper Handling,Compact Design,Print Speed (B&W),Multiple Copies,Maximum Document Width,Color Category,Number Of Cartridges Required,Automatic Redial,Maximum Document Length,EPEAT Level,Copier Resolution (Black),Duplex Scan Function,Dye-Sublimation Printer,Networking,Scan (Monochromatic) Speed,Scan (Color) Speed,Print Head Type,Interface(s),Printer Resolution (Black),Fax Machine Type,Maximum Number Of Copies,Scanner Type,Automatic Reduction/Enlargement,Ink Subscription Service Available,Maximum Photo Width,Scan Method,Copy Speed,Scanner Resolution (dpi),DND Omega Publish,Included Software,Networking Capabilities,Photo Printer,Internet Fax Capability,Scanner Resolution,Wireless Networking,Two-Sided Printer,Connector Type(s),Portable,Paper Feeder,Printer Connectivity,Drop Size,Print Speed (Color),Internal Memory,Copy (Color) Speed,PictBridge Enabled,Integrated Caller ID,Memory,Maximum Paper Capacity,Copy (Black/Monochromatic) Speed,ISO Color Print Speed,TWAIN Compliant,Memory Card Slot,Display Screen,Memory Card Type,Monochromatic/Color
33.6 kilobits per second,4,N/A,250,Up to 6000 x 1200,35 pages per minute,N/A,N/A,"Letter, executive, A4, A5, A6, envelopes (Com-10, DL, Monarch), photo (4 x 6), photo L (3.5 x 5), Photo 2L (5 x 7) and index cards (5 x 8); custom sizes: 3.5"" - 8.5"" (w), 5.0"" - 11.7""",No,"LC103BK, LC103C, LC103M, LC103Y",N/A,N/A,N/A,No,All In One,N/A,N/A,yes,Up to 1200 x 1200,N/A,27 pages per minute,N/A,20 sheets,N/A,N/A,N/A,N/A,35 pages per minute,N/A,Yes,N/A,N/A,N/A,3.7 inches,N/A,None,N/A,"Up to 13,000",N/A,N/A,Up to 250 sheets,N/A,N/A,N/A,8.5 inches,Gray,4,N/A,11.7 inches,N/A,Up to 1200 x 1200,N/A,N/A,Wired,N/A,N/A,N/A,N/A,Up to 6000 x 1200,N/A,N/A,Flatbed,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,Up to 2400 x 2400,N/A,N/A,N/A,No,N/A,USB,N/A,N/A,Yes,9 copies per minute,N/A,N/A,N/A,N/A,12 copies per minute,27 pages per minute,N/A,Yes,Yes,N/A,N/A
33.6 kilobits per second,1,N/A,100,N/A,42 pages per minute,N/A,N/A,"3"" x 5"" - 8.5"" x 14""",Yes,N/A,N/A,N/A,N/A,No,All In One,Yes,N/A,yes,Up to 300 x 300,N/A,N/A,N/A,50 sheets,N/A,N/A,N/A,N/A,42 pages per minute,Yes,Yes,N/A,N/A,N/A,3.5 inches,N/A,"PC: Windows XP (32-bit), Vista or 7 (32- or 64-bit): up to 1.0GHz processor, 1GB (32-bit) or 2GB (64-bit) RAM, 400MB hard drive space; Windows XP (32-bit, SP2): 233MHz Intel Pentium processor; 512MB RAM; Mac: PowerPC G4 or G5",N/A,"Up to 75,000",N/A,N/A,Up to 100 sheets,N/A,N/A,N/A,8.5 inches,Gray,1,N/A,14 inches,N/A,Up to 300 x 300,N/A,N/A,Wired,21 copies per minute,15 copies per minute,N/A,N/A,Up to 1200 x 1200,N/A,99,Flatbed,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,Up to 1200 x 1200,N/A,N/A,N/A,No,N/A,USB|Apple AirPrint|HP ePrint,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,42 copies per minute,N/A,N/A,N/A,Yes,N/A,Monochromatic
N/A,8,N/A,N/A,Up to 5760 x 1440,1 images per minute,N/A,N/A,"3.5"" x 5"", 4"" x 6"", 5"" x 7"", 8"" x 10"", A4, A3, letter, 11"" x 14"", 12"" x 12"", Super B, 8.3"" and 13"" rolls, media up to 1.3mm thick, CDs and DVDs",No,T159,N/A,N/A,N/A,No,Printer,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,14 inches,N/A,N/A,"PC: Windows XP, XP Professional x64 Edition, Vista (32- or 64-bit) or 7 (32- or 64-bit); Mac: OS X 10.5.x-10.6.x",N/A,Medium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Black,8,N/A,N/A,N/A,N/A,N/A,N/A,Wired/Wireless,N/A,N/A,N/A,N/A,Up to 5760 x 1440,N/A,N/A,N/A,N/A,No,12 inches,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,USB 2.0,Yes,N/A,USB 2.0,1.5 picoliters,N/A,No,N/A,Yes,N/A,N/A,N/A,N/A,1 images per minute,N/A,No,No,N/A,N/A
N/A,1,N/A,250,N/A,26 pages per minute,N/A,N/A,"3"" x 5"", - 8.5"" x 14"", letter, legal, envelopes, postcards",Yes,N/A,N/A,N/A,N/A,Yes,All In One,Yes,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26 pages per minute,Yes,No,N/A,N/A,N/A,N/A,N/A,"PC: Windows Server 2003 (32-bit, SP1 or later), Windows Server 2003 R2 (32-bit): 1.0GHz x86 processor; 1GB RAM (32-bit); 400MB hard drive; Windows XP (32-bit, SP2 or later): Intel Pentium 233MHz processor; 512MB RAM; 400MB hard drive",N/A,"Up to 8,000",N/A,N/A,Up to 250 sheets,N/A,N/A,N/A,N/A,Black,N/A,N/A,N/A,Silver,Up to 600 x 600,N/A,N/A,Wired/Wireless,N/A,N/A,N/A,N/A,Up to 600 x 600,N/A,99,Flatbed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"PC: HP Installer/Uninstaller, HP PCL 6 print driver, Status Alerts, HP Update, DXP, HP DeviceToolBox, HPDU; Mac: HP Installer/Uninstaller, HP Postscript driver, HP Setup Assistant, HP Utility, HP Alerts, HP Firmware Update",N/A,No,N/A,Up to 1200 x 1200,N/A,N/A,N/A,No,Bottom loader,Wi-Fi,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,26 copies per minute,N/A,N/A,N/A,N/A,N/A,Monochromatic
N/A,4,N/A,550,Up to 2400 x 1200,36 pages per minute,N/A,N/A,"Plain paper, Photo paper, Envelopes",Yes,"HP 970 Black, CN621A, HP 971 Cyan, CN622A, HP 971 Magenta, CN623A, HP 971 Yellow, CN624A|HP 970XL Black, CN625A, HP 971XL Cyan, CN626A, HP 971XL Magenta, CN627A, HP 971XL Yellow, CN628A",N/A,N/A,N/A,Yes,Printer,Yes,N/A,yes,N/A,N/A,36 pages per minute,N/A,N/A,N/A,N/A,N/A,N/A,36 pages per minute,N/A,Yes,N/A,N/A,N/A,2 inches,N/A,"PC: Windows XP SP3 (32-bit), Vista, 7 or 8, Mac: OS X 10.6, 10.7 or 10.8, select Linux operating systems",N/A,"Up to 50,000",N/A,N/A,Up to 550 sheets,N/A,N/A,N/A,8.5 inches,Black,4,N/A,14 inches,Bronze,N/A,N/A,N/A,Wired/Wireless,N/A,N/A,N/A,N/A,Up to 1200 x 1200,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,No,N/A,USB,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,36 pages per minute,N/A,No,Yes,N/A,N/A
33.6 kilobits per second,4,N/A,N/A,N/A,16 pages per minute,N/A,N/A,"3.5"" x 5"", 4"" x 6"", 5"" x 7"", 8"" x 10"", 8.5"" x 11"", A4, B5, A5, A6, executive, and envelopes (#10, plain, bond and air mail), Epson bright white paper, brochure paper, photo paper, photo-quality adhesive sheets, iron-on Cool Peel transfer paper",Yes,N/A,N/A,N/A,N/A,No,All In One,Yes,N/A,N/A,N/A,N/A,11 pages per minute,N/A,30 sheets,N/A,N/A,N/A,N/A,16 pages per minute,N/A,No,N/A,N/A,N/A,5.8 inches,N/A,"PC: Windows XP (SP1), XP Professional x64, Vista or 7; Windows Server 2003, 2008, 2008 R2; Mac: OS X 10.4.11, 10.5.x, 10.6.x or 10.7.x",N/A,"Up to 20,000",N/A,N/A,Up to 580 sheets,N/A,N/A,N/A,11 inches,Black,4,N/A,44 inches,N/A,Up to 4800 x 1200,N/A,N/A,Wired/Wireless,N/A,N/A,N/A,N/A,N/A,N/A,30,Flatbed,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Up to 2400,N/A,N/A,N/A,No,Tray loader,USB 2.0,N/A,N/A,Yes,8.9 copies per minute,N/A,N/A,N/A,N/A,14 copies per minute,11 pages per minute,N/A,N/A,Yes,N/A,Color
N/A,1,N/A,250,N/A,26 pages per minute,N/A,N/A,"Letter, legal, A4, A5, B5, statement, executive, envelopes (Com 10, Monarch, DL, C5)",No,Cartridge 128,N/A,N/A,N/A,No,Copier|Printer|Scanner,Yes,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26 pages per minute,N/A,Yes,N/A,N/A,N/A,2.5 inches,N/A,"PC: Windows XP, Vista, 7 or 8; Mac: OS X 10.5.8 or later; available USB 2.0 port",N/A,"Up to 10,000",N/A,N/A,Up to 250 sheets,N/A,N/A,N/A,8.5 inches,Black,1,N/A,14 inches,N/A,Up to 600 x 600,N/A,N/A,Wired,13 copies per minute,N/A,N/A,N/A,Up to 600 x 600,N/A,99,Flatbed,Yes,No,N/A,N/A,N/A,N/A,N/A,"Canon Drivers, Document Management & OCR Software",N/A,No,N/A,Up to 600 x 600,N/A,N/A,N/A,No,Multipurpose tray,USB 2.0,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,26 copies per minute,N/A,N/A,No,Yes,N/A,Monochromatic
33.6 kilobits per second,2,N/A,125,Up to 4800 x 1200,14 pages per minute,N/A,N/A,"Letter, legal, 4"" x 6"", 5"" x 7"", 8"" x 10"", no. 10 envelopes",Yes,"HP 62 Black, HP 62 Tri-color, HP 62XL Black, HP 62XL Tri-color",N/A,N/A,N/A,No,All In One,Yes,N/A,yes,Up to 600 x 600,N/A,9 pages per minute,N/A,25 sheets,N/A,N/A,N/A,N/A,14 pages per minute,Yes,No,N/A,N/A,N/A,3.5 inches,N/A,"PC: Windows XP (32-bit, SP3): Intel Pentium, II, Celeron or compatible 233MHz processor; 850MB hard drive space; Internet Explorer 6; Windows Vista: 800MHz 32-bit (x86) or 64-bit (x64) processor; 2GB hard drive space",N/A,"Up to 1,000",N/A,N/A,Up to 125 sheets,N/A,N/A,N/A,8.5 inches,Black,2,N/A,14 inches,N/A,Up to 600 x 600,N/A,N/A,Wired/Wireless,4 copies per minute,4 copies per minute,N/A,N/A,Up to 1200 x 1200,N/A,50,Flatbed,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Up to 1200 x 1200,N/A,N/A,N/A,No,N/A,USB 2.0,N/A,N/A,Yes,5 copies per minute,N/A,N/A,N/A,N/A,11 copies per minute,9 pages per minute,N/A,No,Yes,N/A,N/A
33.6 kilobits per second,4,N/A,150,Up to 600 x 600,14 pages per minute,N/A,N/A,"3"", x 5"", - 8.5"" x 14""",Yes,N/A,N/A,N/A,N/A,No,All In One,N/A,N/A,yes,Up to 600 x 600,N/A,14 pages per minute,N/A,35 sheets,N/A,N/A,N/A,N/A,14 pages per minute,Yes,Yes,N/A,N/A,N/A,3.5 inches,N/A,"PC: Up to 1.0GHz processor, Microsoft Windows XP, Vista or 7, up to 2GB RAM; 200MB hard drive space; Mac: PowerPC G4, G5 or Intel Core processor; OS X 10.5, 10.6 or 10.7; USB or Network port; CD/DVD-ROM or Internet",N/A,"Up to 30,000",N/A,N/A,Up to 150 sheets,N/A,N/A,N/A,8.5 inches,Black,4,N/A,14 inches,N/A,Up to 600 x 600,N/A,N/A,Wired/Wireless,12 copies per minute,12 copies per minute,N/A,N/A,Up to 600 x 600,N/A,99,Flatbed,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Up to 1200 x 1200,N/A,N/A,N/A,No,N/A,USB 2.0|Apple AirPrint|HP ePrint,N/A,N/A,Yes,14 copies per minute,N/A,N/A,N/A,N/A,14 copies per minute,14 pages per minute,N/A,N/A,Yes,N/A,Color
33.6 kilobits per second,2,N/A,500,N/A,42 pages per minute,N/A,N/A,"Up to 8.5"" x 14""",Yes,N/A,N/A,N/A,N/A,No,All In One,Yes,N/A,yes,N/A,N/A,N/A,N/A,50 sheets,N/A,N/A,N/A,N/A,42 pages per minute,Yes,No,N/A,N/A,N/A,5 inches,N/A,Windows or Mac OS,N/A,"Up to 100,000",N/A,N/A,Up to 500 sheets,N/A,N/A,N/A,8.5 inches,Black,2,N/A,14 inches,N/A,N/A,N/A,N/A,Wired/Wireless,N/A,N/A,N/A,N/A,Up to 1200 x 1200,N/A,N/A,Flatbed,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,Up to 19200 x 19200,N/A,N/A,N/A,No,N/A,USB 2.0,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,42 copies per minute,N/A,N/A,N/A,Yes,N/A,Monochromatic
N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,Letter,No,Toner Cartridge & Drum Unit,N/A,N/A,N/A,No,All In One,Yes,N/A,yes,N/A,N/A,N/A,N/A,35 sheets,N/A,N/A,N/A,N/A,30 pages per minute,No,No,N/A,N/A,N/A,N/A,N/A,None,N/A,"Up to 10,000",N/A,N/A,"Letter, Legal , Executive, A4, A5, B5",N/A,N/A,N/A,8.5 inches,Black,1,N/A,14 inches,N/A,N/A,No,N/A,Wired/Wireless,N/A,N/A,N/A,N/A,Up to 2400 x 600,N/A,N/A,Other,Yes,No,N/A,N/A,N/A,N/A,N/A,Scansoft PaperPort SE with OCR for Windows and Presto! PageManager for Mac,N/A,No,N/A,Up to 19200 x 19200,N/A,N/A,N/A,No,N/A,USB,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,30 copies per minute,N/A,N/A,No,Yes,N/A,Monochromatic
N/A,6,N/A,N/A,Up to 9600 x 2400,14.5 images per minute,N/A,N/A,"4&quot, x 6&quot,, 5"" x 7"", 8"" x 10"", letter, legal, 11"" x 17"", 13"" x 19"", U.S. #10 envelopes",Yes,"CLI-251, CLI-251XL, PGI-250; PGI-250XL",N/A,N/A,N/A,Yes,Printer,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,19 inches,N/A,N/A,"PC: Windows XP with Service Pack 3 (32-bit), Vista with Service Pack 1 or 2, 7, 7 with Service Pack 1, 8 or 8.1, Mac: OS X v10.6.8 - 10.9, Internet connection required for software installation",N/A,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Black,6,N/A,N/A,Silver,N/A,N/A,N/A,Wireless,N/A,N/A,N/A,N/A,Up to 600 x 600,N/A,N/A,N/A,N/A,No,13 inches,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,USB,No,N/A,USB|Apple AirPrint|Google Cloud Print,1 picoliters,N/A,No,N/A,Yes,N/A,N/A,N/A,N/A,10.4 images per minute,N/A,No,No,N/A,N/A
N/A,N/A,N/A,N/A,N/A,35 pages per minute,N/A,N/A,"3"" x 5"" to 8.5"" x 14""",No,N/A,N/A,N/A,N/A,No,Printer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35 pages per minute,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.5 inches,Black,N/A,N/A,14 inches,N/A,N/A,N/A,N/A,Wired,N/A,N/A,N/A,N/A,Up to 1200 x 1200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ethernet,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Monochromatic
N/A,2,N/A,250,N/A,32.1 pages per minute,N/A,N/A,"Up to 8.5"" x 14""",Yes,"DR-630, TN-630, TN-660",N/A,N/A,N/A,No,Printer,Yes,N/A,yes,N/A,N/A,N/A,N/A,0 sheets,N/A,N/A,N/A,N/A,32.1 pages per minute,N/A,No,N/A,N/A,N/A,1 inches,N/A,"PC: Windows XP Home, Professional or Professional x64 Edition, Vista, 7, 8 or 8.1; Windows Server 2003 (32- or 64-bit), 2008, 2008 R2, 2012 or 2012 R2; Mac: OS X 10.7.5, 10.8.x or 10.9.x; Linux",N/A,"Up to 10,000",N/A,N/A,N/A,N/A,N/A,N/A,8.5 inches,Black,2,N/A,14 inches,N/A,N/A,N/A,N/A,Wired/Wireless,N/A,N/A,N/A,N/A,Up to 2400 x 600,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,Bottom loader,Ethernet|USB|USB 2.0|Wi-Fi|Apple AirPrint|Google Cloud Print|Brother iPrint&Scan,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,Yes,N/A,Monochromatic
N/A,4,N/A,80,Up to 4800 x 1200,12 pages per minute,N/A,N/A,"Letter, legal, 4"" x 6"", 5"" x 7"", 8"" x 10"", #10 envelopes",Yes,"HP 564, HP 564XL",N/A,N/A,N/A,No,All In One,Yes,N/A,yes,Up to 600,N/A,22 pages per minute,N/A,N/A,N/A,N/A,N/A,N/A,22 pages per minute,N/A,Yes,N/A,N/A,N/A,3.45 inches,N/A,"PC: 1.0GHz 32- or 64-bit processor or Intel&#174;, Pentium&#174;, II or Celeron&#174; processor; Windows XP (32-bit, SP3 or higher), Vista or 7; 2GB disk space; Mac: Intel&#174; Core&#8482; processor; OS X v10.6 or v10.7; 1GB HD; CD-ROM/DVD; USB port",N/A,Up to 500,N/A,N/A,Up to 80 sheets,N/A,N/A,N/A,8.5 inches,Black,4,N/A,14 inches,N/A,Up to 600,N/A,N/A,Wireless,N/A,N/A,N/A,N/A,Up to 1200 x 600,N/A,50,Flatbed,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Up to 1200,N/A,N/A,N/A,No,N/A,USB 2.0|Apple AirPrint|HP ePrint,N/A,N/A,Yes,5.5 copies per minute,N/A,N/A,N/A,N/A,6.5 copies per minute,8.5 pages per minute,N/A,Yes,Yes,N/A,N/A
N/A,1,N/A,N/A,Up to 5760 x 1440,5.1 images per minute,N/A,N/A,"4"" x 6""",No,Epson A55,N/A,N/A,N/A,No,Printer,N/A,No,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,4 inches,2.5 inches,N/A,"PC: Windows 2000, XP Professional x64, XP, Vista or 7; Mac: OS X 10.3.9, 10.4.x, 10.5.x or 10.6.x",N/A,"Up to 20,000",N/A,N/A,N/A,Yes,N/A,N/A,N/A,White,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Up to 600 x 2400,N/A,N/A,N/A,N/A,Yes,6 inches,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,USB|USB 2.0,Yes,N/A,USB|USB 2.0,N/A,N/A,Yes,N/A,Yes,N/A,N/A,N/A,N/A,5.1 images per minute,N/A,Yes,Yes,CompactFlash (CF)|Secure Digital|Secure Digital High Capacity (SDHC),N/A
3 kilobits per second,4,N/A,N/A,Up to 6000 x 1200,22 pages per minute,N/A,N/A,"8.5"" x 11.7""",Yes,LC203BK/C/M/Y,N/A,N/A,N/A,No,All In One,Yes,N/A,yes,N/A,N/A,20 pages per minute,N/A,35 sheets,N/A,N/A,N/A,N/A,22 pages per minute,Yes,No,N/A,N/A,N/A,3.7 inches,N/A,None,N/A,"Up to 30,000",N/A,N/A,N/A,N/A,N/A,N/A,11 inches,Black,4,N/A,17 inches,N/A,N/A,Yes,N/A,Wired/Wireless,N/A,N/A,N/A,N/A,Up to 6000 x 1200,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,Up to 19200 x 19200,N/A,N/A,N/A,No,N/A,USB 2.0,N/A,N/A,Yes,9 copies per minute,N/A,N/A,N/A,N/A,12 copies per minute,20 pages per minute,N/A,Yes,Yes,N/A,N/A
33.6 kilobits per second,2,N/A,250,N/A,24 pages per minute,N/A,N/A,A4; A5; A6; B5; B6; Executive; JIS B5; Letter,No,TN420 Standard Yield Toner Cartridge; TN450 High-Yield Toner Cartridge; DR420 Drum Unit,N/A,N/A,N/A,No,All In One,N/A,N/A,yes,Up to 1200 x 1200,N/A,N/A,N/A,30 sheets,N/A,N/A,N/A,N/A,20 pages per minute,Yes,Yes,N/A,N/A,N/A,N/A,N/A,"Windows: Windows 7, Windows Vista, XP Professional Edition, XP Professional x64 Edition, Windows XP Home Edition, Mac: Mac OS X v10.5.8, 10.6.x, 10.7.x",N/A,"Up to 10,000",N/A,N/A,Up to 250 sheets,N/A,N/A,N/A,8.5 inches,Gray,2,N/A,14 inches,N/A,Up to 300 x 600,N/A,N/A,Wired,N/A,N/A,N/A,N/A,Up to 2400 x 600,N/A,99,Flatbed,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,Up to 600 x 600,N/A,N/A,N/A,No,Tray loader,USB,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,20 copies per minute,N/A,N/A,No,No,N/A,Monochromatic
N/A,4,N/A,250,Up to 1200 x 1200,21 pages per minute,N/A,N/A,"Letter, legal, A4",No,N/A,N/A,N/A,N/A,No,All In One,Yes,N/A,yes,Up to 600 x 600,N/A,21 pages per minute,N/A,50 sheets,N/A,N/A,N/A,N/A,21 pages per minute,N/A,No,N/A,N/A,N/A,3.6 inches,N/A,32/64-bit,N/A,"Up to 4,000",N/A,N/A,Up to 250 sheets,N/A,N/A,N/A,8.5 inches,White,4,N/A,14 inches,N/A,Up to 600 x 600,N/A,N/A,Wired,21 copies per minute,21 copies per minute,N/A,N/A,N/A,N/A,99,Flatbed,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Up to 1200 x 600,N/A,N/A,N/A,No,N/A,USB 2.0,N/A,N/A,Yes,21 copies per minute,N/A,N/A,N/A,N/A,21 copies per minute,21 pages per minute,N/A,N/A,Yes,N/A,Color
33.6 kilobits per second,N/A,N/A,N/A,Up to 600 x 600,31 pages per minute,N/A,N/A,"A4, A5, A6, B5 (JIS), B6 (JIS), 3.9"" x 5.9"", JIS single and double postcards, ISO DL, ISO C5 and ISO B5 envelopes",Yes,N/A,N/A,N/A,N/A,No,All In One,Yes,N/A,yes,N/A,N/A,30 pages per minute,N/A,50 sheets,N/A,N/A,N/A,N/A,30 pages per minute,N/A,Yes,N/A,N/A,N/A,3.5 inches,N/A,"PC: Windows XP (32-bit, SP2): 233MHz Intel&#174; Pentium&#174; processor; Windows Vista (32- or 64-bit) or 7 (32- or 64-bit): 1.0GHz 32-bit (x86) or 64-bit (x64) processor; Mac: OS X Mountain Lion v10.8, Lion v10.7x or v10.6x",N/A,"Up to 75,000",N/A,N/A,Up to 250 sheets,N/A,N/A,N/A,8.5 inches,White,4,N/A,14 inches,N/A,Up to 600 x 600,N/A,N/A,Wired,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Flatbed,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,Up to 300 x 300,N/A,N/A,N/A,No,N/A,USB 2.0,N/A,N/A,Yes,30 copies per minute,N/A,N/A,N/A,N/A,30 copies per minute,31 pages per minute,N/A,N/A,Yes,N/A,Color
33.6 kilobits per second,4,N/A,250,Up to 600 x 600,21 pages per minute,N/A,N/A,"3"" x 5"" to 8.5"" x 14""",Yes,N/A,N/A,N/A,N/A,No,All In One,Yes,N/A,yes,Up to 300 x 420,N/A,21 pages per minute,N/A,50 sheets,N/A,N/A,N/A,N/A,21 pages per minute,Yes,No,N/A,N/A,N/A,3.5 inches,N/A,"PC: Windows XP (SP2 or later), Server 2003 (SP1 or later), Server 2008, Server 2008 R2 (64-bit), Server 2012 (64-bit), 7 (SP1 or later), Vista or 8, 200MB disk space, Mac: OS X 10.6 Leopard, 10.7 Lion, 10.8 Mountain Lion or 10.9 Mavericks",N/A,"Up to 40,000",N/A,N/A,Up to 250 sheets,N/A,N/A,N/A,8.5 inches,Black,4,N/A,14 inches,N/A,Up to 300 x 420,N/A,N/A,Wired,17 copies per minute,13 copies per minute,N/A,N/A,N/A,N/A,99,Flatbed,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Up to 300 x 300,N/A,N/A,N/A,No,N/A,USB|Apple AirPrint|HP ePrint,N/A,N/A,Yes,21 copies per minute,N/A,N/A,N/A,N/A,21 copies per minute,21 pages per minute,N/A,N/A,Yes,N/A,Color
33.6 kilobits per second,4,N/A,N/A,Up to 1200 x 600,10 pages per minute,N/A,N/A,"A4, A5, A6, B5 (JIS), 6"" x 8"", Executive, 3"" x 5"", 4"" x 6"", 5"" x 7"", 8"" x 10"", L, Photo 2L, 8.5"" x 13"", Legal, Letter, Statement, Envelope #10, Envelope A2, Envelope C5, Envelope C6 and more",Yes,"HP 934, HP 934XL, HP 935 CMY, HP 935XL CMY",N/A,N/A,N/A,No,All In One,Yes,N/A,yes,Up to 600 x 600,N/A,10 pages per minute,N/A,35 sheets,N/A,N/A,N/A,N/A,18 pages per minute,Yes,No,N/A,N/A,N/A,2.7 inches,N/A,"PC: Windows 7, 8 or 8.1: 1.0GHz 32-bit (x86) or 64-bit (x64) processor, 2GB hard drive, Microsoft Internet Explorer; CD-ROM/DVD-ROM or Internet; USB port; Mac: OS X v10.6, v10.7, v10.8 or v10.9; 1GB hard drive; Internet; USB port",N/A,"Up to 15,000",N/A,N/A,N/A,N/A,N/A,N/A,16.5 inches,Black,4,N/A,23.4 inches,N/A,Up to 600 x 600,N/A,N/A,Wired/Wireless,N/A,N/A,N/A,N/A,Up to 1200 x 600,N/A,99,Flatbed,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Up to 1200 x 1200,N/A,N/A,N/A,No,Bottom loader,USB 2.0,N/A,N/A,Yes,24 copies per minute,N/A,N/A,N/A,N/A,28 copies per minute,10 pages per minute,N/A,No,Yes,N/A,N/A
