Number Of Speakers,Video Input(s),Maximum Contrast Ratio (Dynamic),Language Options,Headphone Jack,Video Output(s),Surround Sound Supported,RF Antenna Input,Smart Capable,USB Port,Media Card Slot,3D-Ready,PC Input,Viewing Modes,Sound Leveler,Mount Type,DVD Player Included,Product Height (without stand),S-Video Inputs,USB Input,Instant Content Supported,Maximum Resolution,Screen Size,On-Screen Display Languages,Product Depth (with stand),Video Outputs,Sleep Timer,3D Technology,Battery Type,DVI Inputs,Number Of Composite Video Inputs,Brightness,Digital Tuner,Power Consumption (watts) Power On,Product Depth Without Stand,Closed Captioning,Digital Comb Filter,Product Weight With Stand,Specific Manufacturer Technologies,Battery Size,Product Height With Stand,Product Height Without Stand,Composite Inputs,Product Depth With Stand,Power Consumption (watts) Stand-by,Estimated Yearly Electricity Use (kWh),Instant Content,VESA Wall Mount Standard,TV/DVD Combo,Minimum Contrast Ratio (Dynamic),Estimated Annual Operating Cost,Component Video Inputs,Horizontal Viewing Angle,Product Weight Without Stand,Number Of HDMI Inputs,Alarm Timer,Number Of HDMI Outputs,Screen Refresh Rate,Batteries Included,TV Type,Screen Size (Measured Diagonally),Secure Digital Memory Card Slot,Speakers,Resolution (Native),Vertical Resolution,Anti-Glare Screen Coating,V-Chip,Refresh Rate,Watts/Channel,PC Inputs,Curved Screen,Resolution,DLNA Certified,Media Card Compatibility,Dynamic Contrast Ratio,Local Dimming,Estimated Annual Electricity Use,Built-In Player,Cable(s) Included,Speaker Output,Input(s),HDMI Inputs,Number Of Analog Audio Outputs,Number Of USB Port(s),Network Compatibility,Maximum Contrast Ratio (Native),A/V Outputs,Color Category,ENERGY STAR Certified,Number Of Auxiliary Inputs,Display Type,Aspect Ratio,Speaker Output Power,Indoor Or Outdoor Use,Audio Outputs,Widescreen,Language(s) Displayed,DND Omega Publish,Simulated Surround,EPEAT Qualified,Mount Bracket/VESA Pattern,Remote Control Type,Estimated Yearly Operating Cost,Volume Leveler,pricematch,Ethernet Port,DLNA,Screen Size Class,EPEAT Level,Product Depth (without stand),Number Of DVI Inputs,Wall Mountable,Headphone Jacks,Number Of Digital Optical Audio Outputs,Product Height (with stand),Weather Resistant,Channel Labeling,Number Of Component Video Inputs,Speaker Location,Integrated Camera,Vertical Viewing Angle
2,Component video,N/A,N/A,No,N/A,N/A,Yes,Yes,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ESPN ScoreCenter,3840 x 2160,84.5 inches,N/A,N/A,N/A,N/A,Yes,N/A,N/A,2,N/A,Yes,N/A,2.75 inches,N/A,N/A,140.7 pounds,N/A,N/A,45.38 inches,42.9 inches,N/A,15.63 inches,N/A,N/A,N/A,400mm x 400mm,N/A,N/A,40 United States dollars,N/A,N/A,121.5 pounds,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2160p (4K),N/A,Yes,120Hz,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,367 kilowatt hours,N/A,AC power,30 watts,N/A,N/A,2,1,N/A,N/A,N/A,Black,No,N/A,LED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,Universal,N/A,N/A,yes,N/A,N/A,85 inches,N/A,N/A,0,Yes,N/A,2,N/A,N/A,N/A,1,N/A,N/A,N/A
2,Component video|Composite video|HDMI,N/A,N/A,Yes,N/A,N/A,Yes,Yes,N/A,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hulu Plus|Netflix|Pandora|Skype|Twitter|YouTube,3840 x 2160,48.5 inches,N/A,N/A,N/A,Yes,Yes,N/A,N/A,2,N/A,Yes,N/A,2.6 inches,N/A,N/A,51 pounds,N/A,N/A,27 inches,25 inches,N/A,8.86 inches,N/A,N/A,N/A,200mm x 200mm,No,N/A,20 United States dollars,N/A,N/A,39.9 pounds,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2160p (4K),N/A,Yes,120Hz,N/A,N/A,No,N/A,Yes,N/A,N/A,N/A,173 kilowatt hours,N/A,USB,20 watts,N/A,N/A,N/A,1,N/A,N/A,N/A,Black,No,N/A,LED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,Touchpad,N/A,N/A,yes,N/A,N/A,49 inches,N/A,N/A,0,Yes,N/A,2,N/A,N/A,N/A,1,N/A,N/A,N/A
N/A,N/A,N/A,"English, French, Spanish",N/A,N/A,N/A,Yes,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,"26-1/8""",N/A,Yes,N/A,1920 x 1080,N/A,N/A,"10""",N/A,Yes,N/A,N/A,0,N/A,200-250 cd/m&#178;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,149.5,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,60Hz,N/A,LED,"49-1/2""",N/A,2,N/A,1080p,N/A,Yes,N/A,6,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,16:9,12W,N/A,N/A,N/A,N/A,Yes,Yes,No,400mm x 200mm,Standard,$16.44,N/A,yes,No,N/A,"50""",N/A,"3-1/8""",N/A,N/A,Yes,N/A,"28-3/4""",N/A,N/A,N/A,Down-firing,N/A,N/A
2,HDMI,N/A,N/A,No,N/A,N/A,Yes,Yes,N/A,Yes,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Facebook,3840 x 2160,69.5 inches,N/A,N/A,N/A,Yes,No,N/A,N/A,1,N/A,Yes,N/A,2.72 inches,N/A,N/A,84.9 pounds,N/A,N/A,37 inches,35.19 inches,N/A,13.78 inches,N/A,N/A,N/A,400mm x 400mm,No,N/A,49 United States dollars,N/A,N/A,82.7 pounds,4,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2160p (4K),N/A,Yes,120Hz,N/A,N/A,No,N/A,N/A,Secure Digital,N/A,N/A,442 kilowatt hours,N/A,N/A,35 watts,N/A,N/A,1,3,N/A,N/A,N/A,Silver,No,N/A,LED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,Universal,N/A,N/A,yes,N/A,N/A,70 inches,N/A,N/A,0,Yes,N/A,1,N/A,N/A,N/A,1,N/A,N/A,N/A
2,Component video|Composite video|HDMI,N/A,N/A,No,N/A,N/A,Yes,Yes,N/A,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CinemaNow|Facebook|Hulu Plus|Netflix|Pandora|Rhapsody|YouTube,1920 x 1080,80 inches,N/A,N/A,N/A,Yes,Yes,N/A,N/A,2,N/A,Yes,N/A,2.38 inches,N/A,N/A,156.5 pounds,N/A,N/A,44.11 inches,42.06 inches,N/A,18.05 inches,N/A,N/A,N/A,600mm x 400mm,N/A,N/A,23 United States dollars,N/A,N/A,135.6 pounds,4,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1080p,N/A,Yes,240Hz,N/A,N/A,No,N/A,Yes,N/A,N/A,N/A,204 kilowatt hours,N/A,N/A,N/A,N/A,N/A,1,2,N/A,N/A,N/A,Silver,Yes,N/A,LED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,Universal,N/A,N/A,yes,N/A,N/A,80 inches,N/A,N/A,0,Yes,N/A,1,N/A,N/A,N/A,1,N/A,N/A,N/A
N/A,Component video,N/A,N/A,No,N/A,N/A,N/A,Yes,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Facebook,3840 x 2160,49.5 inches,N/A,N/A,N/A,N/A,No,N/A,N/A,1,N/A,Yes,N/A,2 inches,N/A,N/A,37.5 pounds,N/A,N/A,27.63 inches,24.38 inches,N/A,10.88 inches,N/A,N/A,N/A,400mm x 400mm,N/A,N/A,15 United States dollars,N/A,N/A,30.9 pounds,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2160p (4K),N/A,Yes,60Hz,N/A,N/A,No,N/A,Yes,N/A,N/A,N/A,135 kilowatt hours,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,Black,No,N/A,LED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,Smart Touch,N/A,N/A,yes,N/A,N/A,50 inches,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A
N/A,Component video|Composite video|HDMI,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Facebook|Hulu Plus|Netflix|Pandora|Skype|YouTube,3840 x 2160,54.63 inches,N/A,N/A,N/A,N/A,Yes,N/A,N/A,2,N/A,N/A,N/A,3.75 inches,N/A,N/A,51.1 pounds,N/A,N/A,30 inches,28.13 inches,N/A,11.38 inches,N/A,N/A,N/A,400mm x 400mm,N/A,N/A,24 United States dollars,N/A,N/A,43.9 pounds,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2160p (4K),N/A,Yes,120Hz,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,221 kilowatt hours,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,Black,No,N/A,LED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,Smart,N/A,N/A,yes,N/A,N/A,55 inches,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A
N/A,HDMI|Component video|Composite video,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,1920 x 1080,46 inches,N/A,N/A,N/A,Yes,No,N/A,N/A,1,450 candela per square meter,N/A,N/A,3.74 inches,N/A,N/A,68 pounds,N/A,N/A,26 inches,25 inches,N/A,4.74 inches,N/A,N/A,N/A,400mm x 200mm,N/A,N/A,19.42 United States dollars,N/A,N/A,65 pounds,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1080p,N/A,Yes,60Hz,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,177 kilowatt hours,N/A,N/A,20 watts,N/A,N/A,N/A,N/A,N/A,N/A,N/A,White,No,N/A,LED,N/A,N/A,Outdoor,N/A,N/A,N/A,N/A,Yes,No,N/A,Standard,N/A,N/A,N/A,N/A,N/A,46 inches,N/A,N/A,1,N/A,N/A,N/A,N/A,Yes,N/A,2,N/A,N/A,N/A
2,Component video,N/A,N/A,No,N/A,N/A,Yes,No,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,1080 x 1920,49.5 inches,N/A,N/A,N/A,Yes,No,N/A,N/A,1,N/A,Yes,N/A,2.13 inches,N/A,N/A,35.3 pounds,N/A,N/A,27.5 inches,25.75 inches,N/A,10.38 inches,N/A,N/A,N/A,400mm x 200mm,No,N/A,16 United States dollars,N/A,N/A,35.3 pounds,2,Yes,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1080p,N/A,Yes,60Hz,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,148 kilowatt hours,N/A,USB,20 watts,N/A,N/A,0,1,N/A,N/A,N/A,Black,Yes,N/A,LED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,Multifunction,N/A,N/A,yes,N/A,N/A,50 inches,N/A,N/A,0,Yes,N/A,1,N/A,N/A,N/A,1,N/A,N/A,N/A
2,Component video,N/A,N/A,No,HDMI,Dolby Digital Plus,Yes,Yes,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Netflix,3840 x 2160,54.6 inches,N/A,N/A,N/A,N/A,No,N/A,N/A,1,N/A,Yes,N/A,2 inches,N/A,N/A,43.7 pounds,"Clear Motion Rate 240, Smart Hub, Smart View 2.0, S Recommendation",N/A,30 inches,28.3 inches,N/A,10.8 inches,N/A,N/A,N/A,400mm x 400mm,No,N/A,15 United States dollars,N/A,N/A,37 pounds,4,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2160p (4K),N/A,Yes,60Hz,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,140 kilowatt hours,N/A,Not Applicable,N/A,N/A,N/A,1,3,Built-in Wi-Fi,N/A,N/A,Black,No,N/A,LED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,Smart,N/A,N/A,yes,N/A,N/A,55 inches,N/A,N/A,0,Yes,N/A,1,N/A,N/A,N/A,1,N/A,No,N/A
2,Component video,N/A,N/A,Yes,N/A,N/A,Yes,No,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,1080 x 1920,39.5 inches,N/A,N/A,N/A,Yes,No,N/A,N/A,1,N/A,Yes,N/A,2.13 inches,N/A,N/A,26.4 pounds,N/A,N/A,22.5 inches,20.88 inches,N/A,9.88 inches,N/A,N/A,N/A,200mm x 100mm,No,N/A,11 United States dollars,N/A,N/A,23.1 pounds,2,Yes,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1080p,N/A,Yes,60Hz,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,99 kilowatt hours,N/A,AC power,20 watts,N/A,N/A,0,1,N/A,N/A,N/A,Black,No,N/A,LED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,Multifunction,N/A,N/A,yes,N/A,N/A,40 inches,N/A,N/A,0,Yes,N/A,1,N/A,N/A,N/A,1,N/A,N/A,N/A
2,Component video|Composite video|HDMI,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Facebook|Hulu Plus|Netflix|Pandora|YouTube,1080 x 1920,31.5 inches,N/A,N/A,N/A,N/A,No,N/A,N/A,1,N/A,Yes,N/A,2.08 inches,N/A,N/A,15.7 pounds,N/A,N/A,18.74 inches,17.09 inches,N/A,6.9 inches,N/A,N/A,N/A,100mm x 100mm,No,N/A,9 United States dollars,N/A,N/A,13.2 pounds,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1080p,N/A,Yes,120Hz,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,76 kilowatt hours,N/A,AC power,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,Black,Yes,N/A,LED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,Smart,N/A,N/A,yes,N/A,N/A,32 inches,N/A,N/A,0,Yes,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A
